iter	Passed	Remaining
0	143	143007
1	151	75772
2	157	52316
3	165	41246
4	174	34660
5	182	30198
6	189	26839
7	196	24408
8	204	22541
9	211	20977
10	219	19735
11	226	18672
12	234	17773
13	241	16984
14	248	16328
15	255	15727
16	263	15226
17	270	14750
18	278	14381
19	287	14090
20	295	13768
21	302	13463
22	310	13186
23	318	12935
24	325	12678
25	332	12471
26	340	12256
27	347	12080
28	355	11890
29	362	11725
30	370	11576
31	377	11429
32	385	11296
33	392	11162
34	400	11033
35	408	10929
36	416	10836
37	423	10717
38	431	10626
39	438	10521
40	445	10426
41	452	10330
42	460	10246
43	467	10161
44	474	10079
45	481	9994
46	488	9914
47	496	9843
48	503	9767
49	510	9704
50	518	9646
51	525	9589
52	532	9523
53	540	9462
54	548	9419
55	555	9371
56	563	9329
57	571	9281
58	579	9242
59	586	9188
60	593	9141
61	601	9106
62	609	9062
63	616	9020
64	624	8981
65	631	8938
66	639	8903
67	645	8844
68	653	8820
69	660	8781
70	668	8742
71	675	8709
72	682	8669
73	689	8630
74	696	8590
75	703	8553
76	709	8502
77	716	8468
78	723	8436
79	729	8386
80	736	8357
81	744	8331
82	751	8302
83	758	8270
84	765	8241
85	773	8217
86	780	8193
87	788	8171
88	795	8141
89	801	8102
90	807	8064
91	813	8024
92	818	7986
93	824	7947
94	831	7925
95	837	7886
96	844	7864
97	851	7838
98	857	7807
99	864	7778
100	870	7752
101	877	7724
102	883	7697
103	890	7671
104	897	7649
105	903	7620
106	910	7595
107	916	7565
108	921	7535
109	927	7506
110	933	7477
111	941	7466
112	947	7440
113	954	7419
114	960	7395
115	967	7369
116	973	7347
117	981	7337
118	988	7316
119	994	7293
120	1001	7271
121	1008	7261
122	1014	7234
123	1020	7208
124	1027	7192
125	1033	7170
126	1039	7145
127	1046	7126
128	1052	7105
129	1058	7085
130	1064	7060
131	1070	7040
132	1078	7031
133	1084	7006
134	1090	6984
135	1095	6962
136	1104	6955
137	1109	6929
138	1115	6906
139	1120	6885
140	1126	6862
141	1132	6842
142	1138	6824
143	1144	6804
144	1150	6786
145	1156	6767
146	1162	6746
147	1168	6728
148	1176	6717
149	1181	6697
150	1188	6683
151	1194	6664
152	1200	6645
153	1206	6626
154	1211	6607
155	1217	6587
156	1223	6569
157	1228	6548
158	1234	6530
159	1244	6531
160	1250	6519
161	1256	6501
162	1262	6484
163	1268	6468
164	1274	6452
165	1281	6437
166	1288	6425
167	1293	6406
168	1299	6389
169	1306	6378
170	1312	6363
171	1318	6346
172	1324	6332
173	1330	6317
174	1336	6302
175	1342	6285
176	1348	6270
177	1354	6255
178	1360	6241
179	1367	6228
180	1373	6213
181	1379	6200
182	1385	6186
183	1391	6172
184	1397	6158
185	1403	6142
186	1409	6128
187	1415	6114
188	1422	6101
189	1428	6088
190	1434	6074
191	1440	6060
192	1446	6047
193	1452	6033
194	1457	6018
195	1463	6005
196	1469	5991
197	1475	5976
198	1481	5961
199	1486	5946
200	1491	5930
201	1497	5915
202	1502	5899
203	1508	5886
204	1514	5873
205	1520	5858
206	1525	5845
207	1531	5832
208	1537	5817
209	1542	5803
210	1548	5791
211	1554	5779
212	1560	5766
213	1566	5753
214	1572	5741
215	1578	5728
216	1583	5715
217	1589	5701
218	1595	5688
219	1600	5675
220	1606	5663
221	1612	5651
222	1618	5640
223	1625	5630
224	1631	5617
225	1636	5605
226	1642	5594
227	1648	5581
228	1654	5569
229	1659	5556
230	1665	5545
231	1671	5533
232	1677	5522
233	1683	5510
234	1689	5498
235	1694	5486
236	1700	5474
237	1706	5463
238	1712	5451
239	1718	5440
240	1723	5428
241	1729	5415
242	1734	5404
243	1741	5394
244	1747	5384
245	1753	5374
246	1759	5364
247	1765	5353
248	1771	5342
249	1777	5332
250	1783	5322
251	1789	5311
252	1795	5300
253	1801	5289
254	1806	5278
255	1813	5270
256	1819	5261
257	1826	5251
258	1832	5242
259	1838	5231
260	1843	5221
261	1849	5210
262	1855	5199
263	1861	5190
264	1867	5180
265	1873	5170
266	1879	5159
267	1885	5150
