amount,transaction_hour,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,is_night_transaction,amount_to_trust_ratio,amount_velocity_ratio,is_high_risk_location,location_anomaly_score,is_high_amount,is_low_trust,merchant_category_Clothing,merchant_category_Electronics,merchant_category_Food,merchant_category_Grocery,merchant_category_Travel,time_of_day_category_Afternoon,time_of_day_category_Evening,time_of_day_category_Morning,time_of_day_category_Night,is_fraud
40.96,6,0,1,82,2,51,0,0.49951218903033917,13.653333333333334,1,1,0,0,0,0,1,0,0,0,0,1,0,0
57.07,6,0,0,42,2,18,0,1.3588094914569169,19.023333333333333,0,0,0,0,0,1,0,0,0,0,0,1,0,0
44.24,0,0,0,26,2,25,1,1.701538396094677,14.746666666666668,0,0,0,1,0,0,0,1,0,0,0,0,1,0
396.8,23,0,0,97,1,34,0,4.090721607312148,198.4,0,0,0,0,1,0,0,0,0,0,1,0,0,0
20.13,0,0,0,91,1,28,1,0.22120878877792538,10.065,0,0,0,0,0,0,1,0,0,0,0,0,1,0
129.82,4,0,0,82,0,40,1,1.5831707124003571,129.82,0,0,0,0,1,0,0,0,0,0,0,0,1,0
152.2,8,0,0,65,2,30,0,2.3415384255147935,50.73333333333333,0,0,0,0,0,0,0,0,1,0,0,1,0,0
293.74,22,0,0,35,1,54,0,8.39257118878368,146.87,0,0,0,1,0,0,0,0,1,0,1,0,0,0
86.02,7,0,0,99,2,45,0,0.8688888801122335,28.673333333333332,0,0,0,0,0,1,0,0,0,0,0,1,0,0
335.42,16,0,0,76,2,39,0,4.4134209945602505,111.80666666666667,0,0,0,0,1,0,0,0,0,1,0,0,0,0
51.05,14,0,0,60,3,59,0,0.850833319152778,12.7625,0,0,0,0,1,0,0,0,0,1,0,0,0,0
315.12,17,0,0,78,1,46,0,4.039999948205129,157.56,0,0,0,0,0,0,1,0,0,1,0,0,0,0
123.44,6,0,0,55,2,65,0,2.244363595557026,41.14666666666667,0,0,0,0,1,0,0,0,0,0,0,1,0,0
364.63,23,0,0,82,4,44,0,4.446707262845034,72.926,0,0,0,0,0,0,0,0,1,0,1,0,0,0
10.47,11,0,0,75,3,43,0,0.1395999981386667,2.6175,0,0,0,0,0,0,0,0,1,0,0,1,0,0
315.34,10,0,0,58,2,25,0,5.436896457984544,105.11333333333333,0,0,0,0,0,1,0,0,0,0,0,1,0,0
98.95,11,0,0,80,0,24,0,1.2368749845390627,98.95,0,0,0,0,1,0,0,0,0,0,0,1,0,0
474.99,10,1,0,49,4,36,0,9.693673271557689,94.998,1,1,0,0,0,0,0,1,0,0,0,1,0,0
143.5,14,0,0,68,3,51,0,2.1102940866133224,35.875,0,0,0,0,1,0,0,0,0,1,0,0,0,0
14.06,12,0,0,57,1,18,0,0.2466666623391814,7.03,0,0,0,0,0,1,0,0,0,1,0,0,0,0
295.27,19,0,0,97,6,63,0,3.044020587175045,42.18142857142857,0,0,0,0,0,1,0,0,0,0,1,0,0,0
465.41,16,0,0,32,1,61,0,14.544062045498062,232.705,0,0,0,1,0,0,0,1,0,1,0,0,0,0
165.17,7,0,0,88,4,37,0,1.8769317968530477,33.034,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.16,1,0,0,77,2,30,1,0.0020779220509360772,0.05333333333333334,0,0,0,0,0,0,0,1,0,0,0,0,1,0
105.27,21,0,0,63,1,36,0,1.6709523544293277,52.635,0,0,0,0,1,0,0,0,0,0,1,0,0,0
234.68,7,0,0,69,2,36,0,3.4011593709976906,78.22666666666667,0,0,0,0,0,0,0,1,0,0,0,1,0,0
136.79,7,0,0,26,1,66,0,5.261153643801783,68.395,0,0,0,1,0,1,0,0,0,0,0,1,0,0
129.42,3,0,0,93,3,49,1,1.391612888262227,32.355,0,0,0,0,1,0,0,0,0,0,0,0,1,0
29.62,4,0,0,57,1,62,1,0.5196491136903665,14.81,0,0,0,0,0,0,0,1,0,0,0,0,1,0
21.5,5,0,0,74,3,68,1,0.29054053661431706,5.375,0,0,0,0,0,0,0,1,0,0,0,0,1,0
526.0,23,0,0,91,1,27,0,5.780219716700882,263.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
80.61,6,0,0,41,3,48,0,1.966097513022012,20.1525,0,0,0,0,0,1,0,0,0,0,0,1,0,0
295.08,18,0,0,89,1,65,0,3.3155055807246563,147.54,0,0,0,0,0,0,0,0,1,0,1,0,0,0
39.33,18,0,0,54,2,43,0,0.7283333198456793,13.11,0,0,0,0,0,0,1,0,0,0,1,0,0,0
155.78,16,0,0,46,4,18,0,3.386521665510399,31.156,0,0,0,0,0,0,0,0,1,1,0,0,0,0
52.36,14,1,0,63,2,29,0,0.8311110979188715,17.453333333333333,1,1,0,0,1,0,0,0,0,1,0,0,0,0
191.05,22,0,1,30,4,60,0,6.368333121055563,38.21,1,1,0,1,0,0,0,1,0,0,1,0,0,0
98.73,9,0,0,40,3,25,0,2.4682499382937517,24.6825,0,0,0,0,1,0,0,0,0,0,0,1,0,0
7.94,14,0,0,84,2,59,0,0.0945238083985261,2.646666666666667,0,0,0,0,1,0,0,0,0,1,0,0,0,0
108.69,21,0,0,69,1,48,0,1.5752173684751107,54.345,0,0,0,0,0,1,0,0,0,0,1,0,0,0
