iter	Passed	Remaining
0	5	741
1	10	664
2	22	959
3	24	802
4	35	920
5	38	808
6	40	722
7	50	795
8	63	879
9	66	812
10	68	756
11	79	804
12	90	837
13	101	863
14	112	888
15	124	913
16	136	931
17	140	895
18	151	908
19	162	919
20	174	929
21	186	941
22	197	944
23	208	945
24	216	933
25	227	935
26	238	935
27	248	933
28	260	935
29	268	920
30	279	918
31	290	917
32	302	916
33	307	896
34	319	894
35	330	890
36	333	864
37	345	864
38	356	860
39	368	857
40	373	837
41	385	834
42	396	830
43	408	825
44	419	820
45	422	799
46	434	794
47	446	790
48	457	783
49	468	777
50	472	760
51	484	753
52	495	747
53	506	741
54	517	734
55	529	728
56	540	720
57	550	712
58	562	705
59	573	697
60	585	690
61	596	682
62	607	675
63	619	667
64	630	659
65	641	651
66	652	642
67	663	634
68	676	627
69	688	619
70	699	610
71	712	603
72	724	595
73	735	586
74	747	578
75	759	569
76	769	559
77	780	550
78	791	541
79	799	529
80	810	520
81	821	511
82	832	501
83	844	492
84	856	483
85	867	474
86	879	465
87	887	453
88	899	444
89	911	435
90	922	425
91	934	416
92	946	406
93	958	397
94	969	387
95	981	378
96	992	368
97	1003	358
98	1013	348
99	1025	338
100	1036	328
101	1048	318
102	1059	308
103	1070	298
104	1081	288
105	1092	278
106	1104	268
107	1115	258
108	1126	248
109	1137	237
110	1148	227
111	1158	217
112	1170	207
113	1182	197
114	1193	186
115	1203	176
116	1215	166
117	1227	156
118	1238	145
119	1243	134
120	1253	124
121	1264	113
122	1276	103
123	1288	93
124	1299	83
125	1310	72
126	1322	62
127	1333	52
128	1345	41
129	1357	31
130	1368	20
131	1380	10
132	1391	0
