Model_Name,CV_Accuracy,CV_F1_Score,CV_PR_AUC,CV_Precision,CV_Recall,Best_Parameters,Model_File_Path,Output_Predictions_Path
LogisticRegression,0.989,0.7324872769454209,0.9100938761853552,0.5811024747610114,0.992,{'C': 7.640144396835057},../models/logisticregression/best_model.pkl,../outputs/logisticregression/predictions.csv
RandomForest,0.994875,0.8101547346627438,0.9121859932270694,0.9149632975719934,0.7356666666666666,"{'n_estimators': 162, 'max_depth': 7}",../models/randomforest/best_model.pkl,../outputs/randomforest/predictions.csv
XGBoost,0.999625,0.9877414795705516,0.9996720451265906,0.9843076923076924,0.9916666666666668,"{'n_estimators': 278, 'max_depth': 3, 'learning_rate': 0.17031063734091464}",../models/xgboost/best_model.pkl,../outputs/xgboost/predictions.csv
LightGBM,0.99975,0.9914893617021276,0.9981913064104844,1.0,0.9833333333333334,"{'n_estimators': 227, 'max_depth': 3, 'learning_rate': 0.133528426558526}",../models/lightgbm/best_model.pkl,../outputs/lightgbm/predictions.csv
CatBoost,0.999625,0.9877414795705516,0.9988927540058306,0.9843076923076924,0.9916666666666668,"{'iterations': 243, 'depth': 8, 'learning_rate': 0.06253347584233061}",../models/catboost/best_model.pkl,../outputs/catboost/predictions.csv
ExtraTrees,0.99475,0.811286518359689,0.8849883997353244,0.8719732337379396,0.7676666666666666,"{'n_estimators': 168, 'max_depth': 11}",../models/extratrees/best_model.pkl,../outputs/extratrees/predictions.csv
GradientBoosting,0.999,0.966127042861548,0.987190603943044,0.9916666666666668,0.9423333333333334,"{'n_estimators': 182, 'learning_rate': 0.060911503149629, 'max_depth': 5}",../models/gradientboosting/best_model.pkl,../outputs/gradientboosting/predictions.csv
AdaBoost,0.999875,0.995744680851064,0.9992543341825638,1.0,0.9916666666666668,"{'n_estimators': 84, 'learning_rate': 0.47423961960989497}",../models/adaboost/best_model.pkl,../outputs/adaboost/predictions.csv
GaussianNB,0.97025,0.4258637146604719,0.2636881531505535,0.3012494957587709,0.7273333333333334,{'var_smoothing': 4.906648044574924e-06},../models/gaussiannb/best_model.pkl,../outputs/gaussiannb/predictions.csv
LogisticRegression,0.988875,0.7275516982749384,0.912996778854654,0.581107541107541,0.9753333333333334,{'C': 9.378939585143439},../models/from_notebook/logisticregression/best_model.pkl,../outputs/from_notebook/logisticregression/predictions.csv
RandomForest,0.995125,0.8161100687929956,0.9116382121167118,0.9376190476190476,0.7276666666666667,"{'n_estimators': 145, 'max_depth': 7}",../models/from_notebook/randomforest/best_model.pkl,../outputs/from_notebook/randomforest/predictions.csv
XGBoost,0.99975,0.9918231122236127,0.9995412515925775,0.9923076923076923,0.9916666666666668,"{'n_estimators': 206, 'max_depth': 3, 'learning_rate': 0.1733907397613933}",../models/from_notebook/xgboost/best_model.pkl,../outputs/from_notebook/xgboost/predictions.csv
