Model_Name,CV_Accuracy,CV_F1_Score,CV_PR_AUC,CV_Precision,CV_Recall,Best_Parameters,Model_File_Path,Output_Predictions_Path
LogisticRegression,0.9929,0.8077,0.8919,0.6862,0.9837,"{'C': 9.969147825928976}",models/logisticregression/best_model.pkl,outputs/logisticregression/predictions.csv
RandomForest,0.9977,0.9195,0.9675,0.9913,0.8593,"{'n_estimators': 105, 'max_depth': 9}",models/randomforest/best_model.pkl,outputs/randomforest/predictions.csv
ExtraTrees,0.9948,0.8113,0.8884,0.8720,0.7677,"{'n_estimators': 162, 'max_depth': 11}",models/extratrees/best_model.pkl,outputs/extratrees/predictions.csv
XGBoost,0.9996,0.9874,0.9991,1.0000,0.9753,"{'learning_rate': 0.15121107629178263, 'max_depth': 5}",models/xgboost/best_model.pkl,outputs/xgboost/predictions.csv
LightGBM,0.9994,0.9785,0.9916,1.0000,0.9583,"{'learning_rate': 0.10963370874530948, 'max_depth': 8}",models/lightgbm/best_model.pkl,outputs/lightgbm/predictions.csv
CatBoost,0.9995,0.9838,0.9997,0.9769,0.9917,"{'learning_rate': 0.08107381676394246, 'depth': 6}",models/catboost/best_model.pkl,outputs/catboost/predictions.csv
AdaBoost,0.9999,0.9957,0.9994,1.0000,0.9917,"{'n_estimators': 124, 'learning_rate': 0.668760290521003}",models/adaboost/best_model.pkl,outputs/adaboost/predictions.csv
GradientBoosting,0.9994,0.9791,0.9918,0.9917,0.9673,"{'n_estimators': 191, 'learning_rate': 0.2734229379232201, 'max_depth': 3}",models/gradientboosting/best_model.pkl,outputs/gradientboosting/predictions.csv
SVC,0.9946,0.8205,0.8735,0.8234,0.8253,"{'C': 6.840199871832277}",models/svc/best_model.pkl,outputs/svc/predictions.csv
KNN,0.9894,0.5274,0.6045,0.7740,0.4110,"{'n_neighbors': 5, 'weights': 'distance'}",models/knn/best_model.pkl,outputs/knn/predictions.csv
GaussianNB,0.9415,0.3021,0.3863,0.1852,0.8263,"{'var_smoothing': 0.009328272815658279}",models/gaussiannb/best_model.pkl,outputs/gaussiannb/predictions.csv
MLPClassifier,0.9949,0.8330,0.9052,0.8246,0.8427,"{'hidden_layer_sizes': (50, 50), 'alpha': 0.08457998115927555}",models/mlpclassifier/best_model.pkl,outputs/mlpclassifier/predictions.csv
Ensemble_SoftVoting,0.9999,0.9959,0.9991,1.0000,0.9917,"{'w_ada': 0.2842978169539977, 'w_xgb': 0.42322344857123334, 'w_cat': 0.29247873447476896}",models/ensemble/best_model.pkl,outputs/ensemble/predictions.csv
Advanced_Stacking_Ensemble,0.9999,0.9959,0.9990,1.0000,0.9917,"{'meta_model': 'LogisticRegression_L2', 'optimal_threshold': np.float64(0.02)}",models/advanced_ensemble/best_model.pkl,outputs/advanced_ensemble/predictions.csv
